"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2129]DH17060","1","0","1","65","7","53","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2129]DH17060","2","0","2","15","2","64","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2130]DH17183","1","0","1","71","7","15","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2130]DH17183","2","0","2","35","0","32","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2132]DH17093","0","0","0","153","1","71","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2132]DH17093","1","0","1","19","0","19","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2132]DH17093","2","0","2","172","4","41","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2133]DH17214","0","0","0","259","17","106","27"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2133]DH17214","1","0","1","200","7","39","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2133]DH17214","2","0","2","192","15","42","6"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2135]DH17182","0","0","0","15","0","33","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2135]DH17182","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2135]DH17182","2","0","2","65","19","54","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2136]DH17185","0","0","0","48","3","52","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2136]DH17185","1","0","1","114","1","50","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2136]DH17185","2","0","2","206","5","61","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2139]DH17096","0","0","0","42","3","99","8"
